# Total Phase Data Center(tm) v8.10,,,,,,,,,
# (c) 2005-2026 Total Phase, Inc.,,,,,,,,
# www.totalphase.com,,,,,,,,,
#,,,,,,,,,
# ,,,,,,,,,
#,,,,,,,,,
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,Description
0,67,5:04.564.947,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,68,5:04.566.858,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,69,5:04.566.947,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,70,5:04.568.859,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,71,5:04.568.947,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,72,5:04.570.859,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,73,5:04.570.947,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,74,5:04.572.860,88.500 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,75,5:04.572.948,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,76,5:04.574.859,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,77,5:04.574.948,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,78,5:04.576.860,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,79,5:04.576.948,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,80,5:04.578.860,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,81,5:04.578.948,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,82,5:04.580.860,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,83,5:04.580.949,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,84,5:04.582.860,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,85,5:04.582.948,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,86,5:04.584.861,88.350 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,87,5:04.584.949,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,88,5:04.586.861,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,89,5:04.586.949,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,90,5:04.588.861,88.350 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,91,5:04.588.950,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,92,5:04.590.861,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,93,5:04.590.949,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,94,5:04.592.862,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,95,5:04.592.950,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,96,5:04.594.861,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,97,5:04.594.950,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,98,5:04.596.862,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,99,5:04.596.950,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,100,5:04.598.862,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
